Episode:  9 | Episode_reward:  23.5
Episode:  10 | Episode_reward:  14.75
Episode:  11 | Episode_reward:  70.0
Episode:  12 | Episode_reward:  25.75
Episode:  13 | Episode_reward:  49.75
Episode:  14 | Episode_reward:  11.25
Episode:  15 | Episode_reward:  81.0
Episode:  16 | Episode_reward:  25.25
Episode:  17 | Episode_reward:  23.5
Episode:  18 | Episode_reward:  9.75
Episode:  19 | Episode_reward:  23.5
Episode:  20 | Episode_reward:  14.25
Episode:  21 | Episode_reward:  43.25
Episode:  22 | Episode_reward:  26.5
Episode:  23 | Episode_reward:  6.0
Episode:  24 | Episode_reward:  40.25
Episode:  25 | Episode_reward:  17.5
Episode:  26 | Episode_reward:  39.0
Episode:  27 | Episode_reward:  61.5
Episode:  28 | Episode_reward:  37.0
Episode:  29 | Episode_reward:  15.25
Episode:  30 | Episode_reward:  53.75
Episode:  31 | Episode_reward:  23.75
Episode:  32 | Episode_reward:  42.25
Episode:  33 | Episode_reward:  57.75
Episode:  34 | Episode_reward:  26.75
Episode:  35 | Episode_reward:  54.0
Episode:  36 | Episode_reward:  42.75
Episode:  37 | Episode_reward:  67.25
Episode:  38 | Episode_reward:  53.0
Episode:  39 | Episode_reward:  63.75
Episode:  40 | Episode_reward:  107.5
Episode:  41 | Episode_reward:  14.25
Episode:  42 | Episode_reward:  68.75
Episode:  43 | Episode_reward:  11.25
Episode:  44 | Episode_reward:  10.0
Episode:  45 | Episode_reward:  1.0
Episode:  46 | Episode_reward:  43.75
Episode:  47 | Episode_reward:  116.75
Episode:  48 | Episode_reward:  8.5
Episode:  49 | Episode_reward:  24.5
Model: 1292000 / Mean Reward: 36.9 

Episode:  0 | Episode_reward:  41.25
Episode:  1 | Episode_reward:  74.0
Episode:  2 | Episode_reward:  59.75
Episode:  3 | Episode_reward:  73.25
Episode:  4 | Episode_reward:  58.25
Episode:  5 | Episode_reward:  23.75
Episode:  6 | Episode_reward:  47.0
Episode:  7 | Episode_reward:  82.75
Episode:  8 | Episode_reward:  35.5
Episode:  9 | Episode_reward:  4.0
Episode:  10 | Episode_reward:  58.75
Episode:  11 | Episode_reward:  62.25
Episode:  12 | Episode_reward:  73.0
Episode:  13 | Episode_reward:  57.5
Episode:  14 | Episode_reward:  51.75
Episode:  15 | Episode_reward:  27.25
Episode:  16 | Episode_reward:  27.25
Episode:  17 | Episode_reward:  63.75
Episode:  18 | Episode_reward:  61.5
Episode:  19 | Episode_reward:  25.75
Episode:  20 | Episode_reward:  38.5
Episode:  21 | Episode_reward:  15.25
Episode:  22 | Episode_reward:  59.75
Episode:  23 | Episode_reward:  54.25
Episode:  24 | Episode_reward:  99.75
Episode:  25 | Episode_reward:  7.0
Episode:  26 | Episode_reward:  49.0
Episode:  27 | Episode_reward:  73.0
Episode:  28 | Episode_reward:  24.0
Episode:  29 | Episode_reward:  9.75
Episode:  30 | Episode_reward:  11.5
Episode:  31 | Episode_reward:  40.25
Episode:  32 | Episode_reward:  53.25
Episode:  33 | Episode_reward:  13.25
Episode:  34 | Episode_reward:  24.0
Episode:  35 | Episode_reward:  9.0
Episode:  36 | Episode_reward:  34.25
Episode:  37 | Episode_reward:  57.5
Episode:  38 | Episode_reward:  40.0
Episode:  39 | Episode_reward:  62.25
Episode:  40 | Episode_reward:  24.75
Episode:  41 | Episode_reward:  80.75
Episode:  42 | Episode_reward:  18.75
Episode:  43 | Episode_reward:  17.5
Episode:  44 | Episode_reward:  24.75
Episode:  45 | Episode_reward:  51.0
Episode:  46 | Episode_reward:  9.75
Episode:  47 | Episode_reward:  86.5
Episode:  48 | Episode_reward:  45.25
Episode:  49 | Episode_reward:  6.5
Model: 1143000 / Mean Reward: 43.0 

Episode:  0 | Episode_reward:  48.5
Episode:  1 | Episode_reward:  67.5
Episode:  2 | Episode_reward:  33.0
Episode:  3 | Episode_reward:  22.0
Episode:  4 | Episode_reward:  26.0
Episode:  5 | Episode_reward:  44.25
Episode:  6 | Episode_reward:  65.75
Episode:  7 | Episode_reward:  47.0
Episode:  8 | Episode_reward:  18.75
Episode:  9 | Episode_reward:  51.0
Episode:  10 | Episode_reward:  50.5
Episode:  11 | Episode_reward:  56.75
Episode:  12 | Episode_reward:  25.75
Episode:  13 | Episode_reward:  3.75
Episode:  14 | Episode_reward:  40.5
Episode:  15 | Episode_reward:  55.75
Episode:  16 | Episode_reward:  -4.25
Episode:  17 | Episode_reward:  15.0
Episode:  18 | Episode_reward:  47.75
Episode:  19 | Episode_reward:  46.75
